name,type,name_with_type,federal_district,region_code,fias_id,okato,oktmo,tax_office,postal_code,iso_code,timezone,geoname_code,geoname_id,geoname_name,TimeShiftToMoscow,phone_codes
Ставропольский,край,Ставропольский край,Северо-Кавказский,7,327a060b-878c-4fb4-8dc4-d5595871a3d8,7000000000,,2600,,RU-STA,UTC+3,RU.70,487839,Stavropol Kray,0,865| 879,,
Хабаровский,край,Хабаровский край,Дальневосточный,8,7d468b39-1afa-41ec-8c4f-97a8603cb3d4,8000000000,,2700,,RU-KHA,UTC+10,RU.30,2022888,Khabarovsk,7,421,,
Амурская,обл,Амурская обл,Дальневосточный,10,844a80d6-5e31-4017-b422-4d9c01e9942c,10000000000,10000000,2800,675000,RU-AMU,UTC+9,RU.05,2027748,Amur Oblast,6,416,,
Архангельская,обл,Архангельская обл,Северо-Западный,11,294277aa-e25d-428c-95ad-46719c4ddb44,11000000000,11000000,2900,,RU-ARK,UTC+3,RU.06,581043,Arkhangelskaya,0,818,,
Астраханская,обл,Астраханская обл,Южный,12,83009239-25cb-4561-af8e-7ee111b1cb73,12000000000,,3000,,RU-AST,UTC+4,RU.07,580491,Astrakhan,1,851,,
Белгородская,обл,Белгородская обл,Центральный,14,639efe9d-3fc8-4438-8e70-ec4f2321f2a7,14000000000,,3100,,RU-BEL,UTC+3,RU.09,578071,Belgorod Oblast,0,472,,
Брянская,обл,Брянская обл,Центральный,15,f5807226-8be0-4ea8-91fc-39d053aec1e2,15000000000,,3200,,RU-BRY,UTC+3,RU.10,571473,Bryansk Oblast,0,483,,
Владимирская,обл,Владимирская обл,Центральный,17,b8837188-39ee-4ff9-bc91-fcc9ed451bb3,17000000000,,3300,,RU-VLA,UTC+3,RU.83,826294,Vladimir,0,492,,
Волгоградская,обл,Волгоградская обл,Южный,18,da051ec8-da2e-4a66-b542-473b8d221ab4,18000000000,,3400,,RU-VGG,UTC+4,RU.84,472755,Volgograd Oblast,1,844,,
Вологодская,обл,Вологодская обл,Северо-Западный,19,ed36085a-b2f5-454f-b9a9-1c9a678ee618,19000000000,,3500,,RU-VLG,UTC+3,RU.85,472454,Vologda,0,817| 820,,
